Class;Units;Avg_Mass (kg);Avg_Purchase;Purchase_Min;Purchase_Max;Start_date;End_date;Year;Month
HU;4.0;84.52;18.38;14.0;19.78;2017/01/02;2017/01/08;2017;1
HS;4.0;91.43;11.39;9.4;16.03;2017/01/02;2017/01/08;2017;1
CP;1996.0;65.91;27.68;20.28;31.0;2017/01/02;2017/01/08;2017;1
CO;534.0;71.22;27.52;22.4;31.0;2017/01/02;2017/01/08;2017;1
CR;32.0;70.65;27.03;22.91;28.5;2017/01/02;2017/01/08;2017;1
CU;1.0;74.9;27.5;27.5;27.5;2017/01/02;2017/01/08;2017;1
SAS;480.0;163.08;17.62;14.56;20.8;2017/01/02;2017/01/08;2017;1
A2;8848.0;27378.0;4692.0;4695.0;4624.0;2018/03/05;2018/03/11;2018;3
A3;1410.0;29523.0;4682.0;4681.0;4641.0;2018/03/05;2018/03/11;2018;3
AB2;739.0;25949.0;4595.0;4637.0;4525.0;2018/03/05;2018/03/11;2018;3
AB3;164.0;27917.0;4584.0;4636.0;4529.0;2018/03/05;2018/03/11;2018;3
B2;369.0;24770.0;4303.0;4360.0;4196.0;2018/03/05;2018/03/11;2018;3
B3;108.0;26949.0;4325.0;4433.0;4293.0;2018/03/05;2018/03/11;2018;3
C2;1278.0;23190.0;4186.0;4238.0;4070.0;2018/03/05;2018/03/11;2018;3
C3;435.0;27547.0;4230.0;4348.0;4181.0;2018/03/05;2018/03/11;2018;3
A0;19.0;1538.0;4976.0;5391.0;4600.0;2018/03/05;2018/03/11;2018;3
A1;239.0;1441.0;6671.0;6659.0;6244.0;2018/03/05;2018/03/11;2018;3
A2;5660.0;2154.0;7135.0;7151.0;7020.0;2018/03/05;2018/03/11;2018;3
A3;1081.0;2448.0;7218.0;7124.0;7031.0;2018/03/05;2018/03/11;2018;3
A4;216.0;2572.0;6237.0;6318.0;6047.0;2018/03/05;2018/03/11;2018;3
A5;36.0;2553.0;5186.0;5292.0;4358.0;2018/03/05;2018/03/11;2018;3
A6;68.0;2686.0;5042.0;5140.0;5073.0;2018/03/05;2018/03/11;2018;3
AB2;263.0;2084.0;6328.0;6632.0;6386.0;2018/03/05;2018/03/11;2018;3
AB3;33.0;2439.0;6131.0;6565.0;6398.0;2018/03/05;2018/03/11;2018;3
B2;110.0;2246.0;6404.0;6391.0;5910.0;2018/03/05;2018/03/11;2018;3
B3;21.0;2488.0;5860.0;6298.0;5406.0;2018/03/05;2018/03/11;2018;3
C2;1253.0;2255.0;5766.0;5684.0;5298.0;2018/03/05;2018/03/11;2018;3
C3;212.0;2558.0;5293.0;5736.0;5409.0;2018/03/05;2018/03/11;2018;3
P;1300.0;5152.0;2724.0;2392.0;2856.0;2018/03/05;2018/03/11;2018;3
O;119.0;4893.0;2621.0;2383.0;2856.0;2018/03/05;2018/03/11;2018;3
R;43.0;4852.0;2381.0;2050.0;2800.0;2018/03/05;2018/03/11;2018;3
C;10.0;5338.0;2326.0;1500.0;2750.0;2018/03/05;2018/03/11;2018;3
S;7.0;3943.0;1900.0;1850.0;1950.0;2018/03/05;2018/03/11;2018;3
P;825.0;6047.0;2414.0;2300.0;2707.0;2018/03/05;2018/03/11;2018;3
O;109.0;6298.0;2434.0;2300.0;2750.0;2018/03/05;2018/03/11;2018;3
R;10.0;6412.0;2284.0;2280.0;2300.0;2018/03/05;2018/03/11;2018;3
S;2.0;5950.0;2160.0;1850.0;2500.0;2018/03/05;2018/03/11;2018;3
P;5844.0;7507.0;2544.0;2305.0;2700.0;2018/03/05;2018/03/11;2018;3
O;1698.0;7610.0;2560.0;2316.0;2700.0;2018/03/05;2018/03/11;2018;3
R;182.0;7646.0;2493.0;2206.0;2698.0;2018/03/05;2018/03/11;2018;3
C;28.0;7424.0;2496.0;2206.0;2600.0;2018/03/05;2018/03/11;2018;3
U;12.0;7122.0;2363.0;1950.0;2521.0;2018/03/05;2018/03/11;2018;3
S;3.0;7470.0;2242.0;1500.0;2550.0;2018/03/05;2018/03/11;2018;3
P;4138.0;8641.0;2389.0;2150.0;2670.0;2018/03/05;2018/03/11;2018;3
O;4669.0;8879.0;2423.0;2150.0;2632.0;2018/03/05;2018/03/11;2018;3
R;653.0;9032.0;2312.0;2150.0;2403.0;2018/03/05;2018/03/11;2018;3
C;27.0;9014.0;2138.0;1862.0;2212.0;2018/03/05;2018/03/11;2018;3
U;5.0;9076.0;2097.0;1800.0;2240.0;2018/03/05;2018/03/11;2018;3
S;21.0;9445.0;2281.0;2108.0;2400.0;2018/03/05;2018/03/11;2018;3
BP;7292.0;72.93;26.94;22.3;29.5;2017/03/06;2017/03/12;2017;3
BO;2911.0;74.67;27.31;23.5;29.5;2017/03/06;2017/03/12;2017;3
BR;278.0;76.01;26.4;23.0;29.25;2017/03/06;2017/03/12;2017;3
BC;19.0;76.23;24.19;15.0;29.0;2017/03/06;2017/03/12;2017;3
BU;3.0;81.47;22.92;17.5;29.0;2017/03/06;2017/03/12;2017;3
