Type;Class;Units;Avg_Mass (kg);Avg_Purchase;Avg_Selling;Selling_Min;Selling_Max;Start_date;End_date
Cattle;A2;9754.0;261.09;37.7;37.36;35.0;39.0;2016/07/18;2016/07/24
Cattle;A3;1373.0;282.87;37.74;37.27;35.81;39.27;2016/07/18;2016/07/24
Cattle;AB2;447.0;268.28;35.77;36.38;30.1;40.38;2016/07/18;2016/07/24
Cattle;AB3;105.0;299.2;35.02;35.67;32.62;40.38;2016/07/18;2016/07/24
Cattle;B2;560.0;270.44;32.53;33.22;26.0;34.9;2016/07/18;2016/07/24
Cattle;B3;89.0;293.12;31.79;33.1;31.46;34.5;2016/07/18;2016/07/24
Cattle;C2;2284.0;251.23;30.02;30.52;27.84;32.7;2016/07/18;2016/07/24
Cattle;C3;640.0;280.74;30.07;31.15;28.0;32.7;2016/07/18;2016/07/24
Cattle;A2;9219.0;259.73;34.8;34.89;29.4;36.0;2018/07/16;2018/07/22
Cattle;A3;1259.0;275.02;34.91;35.08;33.94;36.0;2018/07/16;2018/07/22
Cattle;AB2;388.0;265.08;33.28;32.78;22.98;35.3;2018/07/16;2018/07/22
Cattle;AB3;57.0;283.16;33.59;33.43;30.11;35.3;2018/07/16;2018/07/22
Cattle;B2;477.0;240.66;30.53;30.22;27.32;34.9;2018/07/16;2018/07/22
Cattle;B3;54.0;289.23;31.1;30.63;28.0;34.9;2018/07/16;2018/07/22
Cattle;C2;1479.0;252.17;28.16;28.43;27.0;31.0;2018/07/16;2018/07/22
Cattle;C3;259.0;293.58;28.91;28.83;27.0;31.0;2018/07/16;2018/07/22
Cattle;A2;12595.0;258.5;39.03;38.79;36.33;42.15;2017/01/16;2017/01/22
Cattle;A3;1352.0;276.2;38.89;38.48;35.34;42.15;2017/01/16;2017/01/22
Cattle;AB2;563.0;252.46;37.59;37.71;33.5;40.5;2017/01/16;2017/01/22
Cattle;AB3;73.0;273.36;37.52;37.62;36.85;39.5;2017/01/16;2017/01/22
Cattle;B2;379.0;245.72;35.26;36.11;32.5;39.42;2017/01/16;2017/01/22
Cattle;B3;75.0;269.21;34.96;36.45;32.5;38.5;2017/01/16;2017/01/22
Cattle;C2;1755.0;255.59;34.23;34.93;27.94;39.5;2017/01/16;2017/01/22
Cattle;C3;568.0;276.59;34.29;36.0;23.9;39.5;2017/01/16;2017/01/22
Cattle;A2;13617.0;263.37;35.01;37.97;36.86;41.95;2016/07/25;2016/07/31
Cattle;A3;2054.0;283.85;37.75;37.82;36.31;40.3;2016/07/25;2016/07/31
Cattle;AB2;669.0;270.2;35.98;36.71;33.7;39.4;2016/07/25;2016/07/31
Cattle;AB3;138.0;303.37;36.2;36.83;33.09;39.4;2016/07/25;2016/07/31
Cattle;B2;794.0;267.47;32.52;33.41;29.0;36.1;2016/07/25;2016/07/31
