Date,Product,Variety,Class,Size,Package,Unit(kg),Closing Price,High Price,Low Price,Average Price,Total Sales(Rand),Sales Quantity,Closing Stock,Day,Month,Week
2023-03-01,CAULIFLOWER,NO VARIETY,NOT GRADED,NO SIZE,PUNNET PACK (Pre Pack),10.0,20.0,20.0,20.0,20.0,180,9,0,1,3,9
2023-03-01,CAULIFLOWER,NO VARIETY,NOT GRADED,NO SIZE,BOX,10.0,44.0,96.0,40.0,68.0,836,19,17,1,3,9
2023-03-01,CAULIFLOWER,NO VARIETY,NOT GRADED,NO SIZE,PUNNET PACK (Pre Pack),10.0,20.0,20.0,20.0,20.0,180,9,0,1,3,9
2023-02-27,CAULIFLOWER,NO VARIETY,NOT GRADED,NO SIZE,BOX,10.0,248.76,300.0,10.0,155.0,28110,113,43,27,2,9
2023-02-27,CAULIFLOWER,NO VARIETY,NOT GRADED,NO SIZE,PUNNET PACK (Pre Pack),10.0,0.0,0.0,0.0,0.0,0,0,9,27,2,9
2023-02-24,CAULIFLOWER,NO VARIETY,NOT GRADED,NO SIZE,BOX,10.0,73.9,180.0,10.0,95.0,3030,41,49,24,2,8
2023-02-24,CAULIFLOWER,NO VARIETY,NOT GRADED,NO SIZE,PUNNET PACK (Pre Pack),10.0,0.0,0.0,0.0,0.0,0,0,9,24,2,8
2023-02-22,CAULIFLOWER,NO VARIETY,NOT GRADED,NO SIZE,BOX,10.0,120.33,250.0,10.0,130.0,16606,138,83,22,2,8
2023-02-22,CAULIFLOWER,NO VARIETY,NOT GRADED,NO SIZE,PUNNET PACK (Pre Pack),10.0,135.8,150.0,120.0,135.0,4210,31,14,22,2,8
2023-02-21,CAULIFLOWER,NO VARIETY,NOT GRADED,NO SIZE,BOX,10.0,163.53,250.0,70.0,160.0,18970,116,168,21,2,8
2023-02-21,CAULIFLOWER,NO VARIETY,NOT GRADED,NO SIZE,PUNNET PACK (Pre Pack),10.0,158.69,200.0,100.0,150.0,14600,92,45,21,2,8
2023-02-21,CAULIFLOWER,NO VARIETY,NOT GRADED,NO SIZE,BOX,10.0,163.53,250.0,70.0,160.0,18970,116,168,21,2,8
2023-02-21,CAULIFLOWER,NO VARIETY,NOT GRADED,NO SIZE,PUNNET PACK (Pre Pack),10.0,158.69,200.0,100.0,150.0,14600,92,45,21,2,8
2023-02-20,CAULIFLOWER,NO VARIETY,NOT GRADED,NO SIZE,BOX,10.0,126.0,150.0,30.0,90.0,5040,40,85,20,2,8
2023-02-20,CAULIFLOWER,NO VARIETY,NOT GRADED,NO SIZE,PUNNET PACK (Pre Pack),10.0,161.53,200.0,100.0,150.0,2100,13,77,20,2,8
2023-02-17,CAULIFLOWER,NO VARIETY,NOT GRADED,NO SIZE,BOX,10.0,130.98,250.0,10.0,130.0,33270,254,122,17,2,7
2023-02-17,CAULIFLOWER,NO VARIETY,NOT GRADED,NO SIZE,HALF POCKET,5.0,50.0,50.0,50.0,50.0,350,7,0,17,2,7
2023-02-16,CAULIFLOWER,NO VARIETY,NOT GRADED,NO SIZE,BOX,10.0,190.7,300.0,100.0,200.0,35090,184,123,16,2,7
2023-02-16,CAULIFLOWER,NO VARIETY,NOT GRADED,NO SIZE,HALF POCKET,5.0,80.0,80.0,80.0,80.0,1040,13,7,16,2,7
2023-02-16,CAULIFLOWER,NO VARIETY,NOT GRADED,NO SIZE,BOX,10.0,190.7,300.0,100.0,200.0,35090,184,123,16,2,7
2023-02-16,CAULIFLOWER,NO VARIETY,NOT GRADED,NO SIZE,HALF POCKET,5.0,80.0,80.0,80.0,80.0,1040,13,7,16,2,7
2023-02-15,CAULIFLOWER,NO VARIETY,NOT GRADED,NO SIZE,BOX,10.0,230.0,300.0,30.0,165.0,4830,21,14,15,2,7
2023-02-15,CAULIFLOWER,NO VARIETY,NOT GRADED,NO SIZE,PUNNET PACK (Pre Pack),10.0,10.0,10.0,10.0,10.0,120,12,0,15,2,7
2023-02-14,CAULIFLOWER,NO VARIETY,NOT GRADED,NO SIZE,BOX,10.0,123.03,300.0,10.0,155.0,6890,56,35,14,2,7
