Class,Units,Avg_mass,Avg_purch,Avg_selling,Selling_min,Selling_max
B3,8,28.78,50.20,55.60,53.67,59.36
C2,558,23.08,48.40,53.19,52.81,54.31
C3,115,25.44,47.04,51.96,49.27,54.25
A2,11819,260.57,39.35,39.48,38.47,42.15
A3,1686,280.76,38.83,39.19,38.00,42.15
AB2,740,266.64,37.09,37.33,31.50,42.15
AB3,141,298.20,37.38,37.57,33.57,42.15
B2,637,250.33,33.10,33.59,28.47,37.90
B3,128,286.99,33.66,33.90,28.00,36.50
C2,2284,245.53,28.70,29.48,27.00,34.50
C3,645,276.41,29.05,28.54,27.00,34.50
A0,217,13.25,44.86,46.40,36.50,47.61
A1,928,14.20,54.74,54.88,42.00,57.22
A2,8373.4,18.32,56.95,57.41,52.48,63.08
A3,3263,20.74,56.27,56.55,43.01,64.08
A4,494,20.94,46.72,48.94,47.00,63.36
A5,142,21.00,40.27,41.05,37.00,50.00
A6,221,20.99,36.65,38.15,37.00,56.00
AB2,369,18.72,47.17,49.57,42.50,61.54
AB3,58,18.88,46.05,49.23,42.50,56.00
B2,129,21.69,42.65,45.94,38.50,55.00
B3,78,25.31,43.46,45.37,38.50,55.00
C2,1440,22.12,38.51,39.03,37.00,52.50
C3,389,22.94,38.54,39.29,37.00,47.00
A2,11221,259.37,45.76,47.15,43.16,49.12
A3,1472,278.73,46.23,47.71,44.78,48.79
AB2,720,253.58,42.98,44.51,33.24,46.34
AB3,125,274.51,43.59,44.61,41.77,46.70
B2,462,242.13,38.29,39.35,36.05,41.26
B3,138,279.14,38.31,38.64,37.24,41.03
C2,2130,240.68,36.91,37.29,35.50,38.92
C3,495,275.03,36.98,37.45,35.46,38.44
A0,331,14.04,52.72,52.69,45.75,57.54
A1,1655,15.69,62.91,63.35,60.40,66.00
A2,14961,19.37,64.35,64.99,62.34,67.97
A3,2032,20.75,63.07,64.36,62.58,66.82
A4,513,20.10,53.90,56.29,51.20,60.84
A5,121,20.54,50.05,50.25,46.61,56.06
A6,179,19.79,48.88,50.31,46.72,56.73
AB2,250,19.42,51.42,55.61,49.47,59.12
AB3,73,20.59,50.80,53.87,51.64,58.90
B2,196,23.96,47.13,48.86,44.52,53.46
B3,50,25.86,46.95,48.53,44.50,52.47
C2,1249,23.80,45.91,46.24,40.92,51.96
C3,409,27.75,46.32,45.69,39.47,53.00
B2,273,242.28,42.44,44.15,39.57,46.15
B3,80,278.90,42.12,44.19,43.19,45.46
C2,851,250.78,41.06,41.98,40.40,43.06
C3,492,272.51,41.39,42.33,40.98,43.21
A0,11,12.18,42.30,57.63,41.00,59.82
A1,172,14.08,68.30,67.18,66.19,68.33
A2,6437,21.81,70.21,70.36,68.79,71.26
A3,1389,23.82,71.30,70.22,70.09,70.61
A4,157,25.17,62.01,62.86,62.09,65.41
A5,26,27.17,51.78,52.51,50.02,55.84
A6,30,26.57,52.08,52.66,51.19,56.85
AB2,102,19.58,61.11,65.83,62.70,67.35
AB3,21,22.30,60.44,64.65,59.55,66.00
B2,67,18.46,54.78,58.69,56.31,62.90
B3,2,25.90,52.25,55.89,54.20,57.95
