Class,Units,Avg_mass,Avg_purch,Avg_selling,Selling_min,Selling_max
AB2,56,20.08,82.56,91.09,86.28,99.98
AB3,3,24.63,81.79,89.46,86.00,96.00
B2,157,23.23,76.03,83.23,80.19,84.74
B3,8,26.88,75.99,82.06,80.29,84.00
C2,1086,25.34,73.11,80.27,73.10,86.03
C3,198,27.97,73.33,81.68,73.81,86.78
B2,287,258.13,39.03,41.12,38.49,44.44
B3,81,292.92,39.09,40.83,39.47,43.49
C2,1431,259.03,37.33,39.49,36.59,42.50
C3,501,291.44,37.57,40.73,37.38,42.50
Class,Units,Avg_mass,Avg_purch,Avg_Selling,Selling_Min,Selling_Max
A0,37,13.38,48.09,60.25,56.00,64.70
A1,260,14.25,65.30,68.24,67.34,69.16
A2,7009,21.64,68.47,69.87,67.53,74.02
A3,714,24.22,69.92,70.97,68.52,74.44
A4,86,24.85,61.54,64.03,61.86,70.12
A5,13,22.34,53.83,58.31,53.80,63.23
A6,30,20.41,56.24,63.10,57.89,66.44
AB2,80,23.16,56.05,61.35,55.79,66.72
AB3,2,23.90,48.00,61.83,61.83,61.83
B2,564,23.47,51.10,57.62,53.78,58.88
B3,37,24.32,52.24,58.54,54.23,61.00
C2,1115,23.65,49.16,51.91,47.96,54.75
C3,81,28.53,49.38,54.30,51.36,56.75
A2,9219,259.73,34.80,34.89,29.40,36.00
A3,1259,275.02,34.91,35.08,33.94,36.00
AB2,388,265.08,33.28,32.78,22.98,35.30
AB3,57,283.16,33.59,33.43,30.11,35.30
B2,477,240.66,30.53,30.22,27.32,34.90
B3,54,289.23,31.10,30.63,28.00,34.90
C2,1479,252.17,28.16,28.43,27.00,31.00
C3,259,293.58,28.91,28.83,27.00,31.00
A0,157,14.22,45.42,45.36,38.00,47.16
A1,582,15.61,53.70,53.02,44.00,55.15
A2,8233,20.31,54.81,55.10,51.00,61.96
A3,1979,22.84,55.39,55.01,52.00,61.63
A4,459,23.30,50.60,49.15,47.00,56.00
A5,97,24.50,47.51,43.68,39.00,48.66
A6,106,22.51,46.31,43.15,39.36,48.00
AB2,144,21.23,46.93,46.09,38.00,54.70
AB3,53,20.76,47.41,47.70,38.00,54.70
B2,97,21.34,41.89,44.01,39.00,51.00
B3,32,26.49,42.48,42.87,37.00,51.00
C2,416,23.99,39.29,41.03,38.00,44.00
C3,103,28.42,39.63,41.48,38.00,48.50
15,17,19,21,23,25,27
A2,12595,258.50,39.03,38.79,36.33,42.15
A3,1352,276.20,38.89,38.48,35.34,42.15
AB2,563,252.46,37.59,37.71,33.50,40.50
AB3,73,273.36,37.52,37.62,36.85,39.50
B2,379,245.72,35.26,36.11,32.50,39.42
B3,75,269.21,34.96,36.45,32.50,38.50
C2,1755,255.59,34.23,34.93,27.94,39.50
C3,568,276.59,34.29,36.00,23.90,39.50
A0,285,13.02,55.27,56.59,52.24,60.00
A1,1696,15.73,66.38,66.98,60.00,69.99
A2,13150,18.80,66.64,67.38,63.95,75.50
A3,2334,20.69,67.17,66.66,64.98,73.85
A4,344,22.33,58.05,59.38,55.00,64.28
A5,70,23.02,51.67,52.92,45.45,64.87
A6,92,20.29,48.53,50.22,46.78,57.29
AB2,186,21.88,57.84,60.27,54.05,65.11
AB3,10,22.43,48.23,50.39,48.00,56.00
B2,180,24.88,52.19,53.85,49.76,56.85
B3,26,27.39,50.71,53.37,45.14,55.38
HP,3,886,84.79,26.07,22.30,30.00
B2,141,260.22,38.29,38.88,37.01,41.87
B3,42,317.77,38.21,38.29,37.77,39.09
C2,1032,258.42,39.03,39.78,37.04,41.37
C3,275,287.54,38.76,39.21,37.08,41.02
Class,Units,Avg_mass,Avg_purch,Avg_Selling,Selling_Min,Selling_Max
A0,25,13.74,48.53,58.67,55.40,60.51
A1,262,14.95,64.10,67.28,65.18,68.87
A2,6742,22.04,63.71,70.77,67.27,72.06
A3,1470,23.77,66.88,71.10,70.60,71.76
A4,326,26.09,59.64,63.26,62.47,65.48
A5,51,28.75,51.56,54.56,53.90,56.92
A6,118,29.83,51.68,52.43,52.43,52.43
AB2,18,20.55,62.55,68.01,64.18,71.00
AB3,5,24.08,55.56,63.56,60.00,71.00
B2,156,23.44,60.57,64.45,62.55,64.90
B3,11,25.79,52.71,61.04,58.34,64.40
C2,361,25.02,55.40,59.20,53.77,65.89
C3,58,26.27,54.50,56.85,54.00,59.42
A2,10551,264.49,46.49,46.80,44.45,47.92
A3,1341,275.80,46.87,46.47,44.44,48.06
AB2,562,259.08,45.02,45.84,43.39,48.02
AB3,98,271.02,45.53,44.94,43.38,46.93
B2,467,253.17,42.07,42.19,40.58,44.33
B3,153,272.67,41.62,43.11,41.14,44.76
C2,1754,263.03,41.29,41.61,38.40,44.11
C3,587,285.62,41.18,42.60,35.85,45.13
A0,179,14.90,41.63,65.65,58.43,68.30
A1,1143,16.20,76.02,74.96,69.23,77.02
A2,9958,20.46,77.77,71.98,66.34,77.94
A3,1510,313.07,77.57,75.54,66.12,78.30
A4,253,24.44,68.63,61.99,57.96,72.71
A5,56,25.25,60.81,56.30,49.74,72.27
A6,39,23.45,61.99,56.58,49.46,70.00
AB2,338,19.96,66.45,68.34,63.36,71.00
AB3,21,22.42,66.17,69.17,64.26,70.79
B2,719,22.62,63.31,67.35,54.25,71.48
B3,89,25.26,60.98,61.34,51.59,69.28
C2,548,23.70,60.70,61.28,55.55,64.12
C3,295,26.98,61.16,62.31,55.88,66.00
PIGS,Units,Avg,Avg,Purch,Purch,Purch
Mass,Price,Min,Max,Hide,Feedlot,15.03
21,22,23,24,25,26,27
B2,511,281.37,43.15,44.07,42.98,45.42
B3,150,304.02,42.55,43.77,42.57,44.83
C3,618,302.34,40.66,41.88,39.85,43.60
Class,Units,Avg_mass,Avg_purch,Avg_Selling,Selling_Min,Selling_Max
A0,129,12.17,54.87,60.42,52.00,70.08
A1,926,15.01,80.78,76.56,67.78,82.05
A4,484,22.37,74.22,65.42,62.05,72.66
A5,56,23.28,69.59,56.49,53.26,65.09
A6,96,24.00,70.76,52.38,51.61,56.03
AB2,206,21.04,60.67,61.78,58.83,72.73
AB3,41,21.87,61.10,60.18,59.00,61.54
B2,488,24.11,70.10,71.08,61.39,73.92
B3,51,26.64,62.99,62.68,53.82,71.53
C2,898,25.39,61.53,62.04,53.46,67.71
C3,274,26.23,59.55,58.52,52.55,64.84
P,1,485,51.40,24.33,22.44,25.05
P,1,111,61.63,22.62,21.79,23.67
P,6,576,75.17,22.14,21.33,23.45
O,3,020,75.80,22.55,21.65,24.42
P,3,239,84.81,20.35,16.45,22.50
O,3,572,86.61,20.53,18.90,19.59
A2,13617,263.37,35.01,37.97,36.86,41.95
A3,2054,283.85,37.75,37.82,36.31,40.30
AB2,669,270.20,35.98,36.71,33.70,39.40
AB3,138,303.37,36.20,36.83,33.09,39.40
B2,794,267.47,32.52,33.41,29.00,36.10
B3,134,301.96,32.38,33.43,29.00,36.10
C2,2273,255.18,29.67,30.67,27.53,32.70
C3,614,283.46,30.14,28.85,26.94,32.95
A0,142,13.23,48.99,48.61,36.49,54.00
A1,556,15.50,57.25,57.97,48.54,68.00
A2,9471,21.74,57.50,60.16,55.68,64.25
A3,2201,23.58,58.05,58.91,56.00,64.92
A4,456,23.84,50.99,50.61,47.28,57.69
A5,98,23.70,44.39,46.28,42.25,55.00
A6,153,21.59,42.74,43.55,39.82,51.28
AB2,316,21.87,53.77,54.47,44.00,59.70
AB3,44,25.69,50.77,52.40,44.00,59.70
B2,278,24.22,49.28,50.65,38.37,53.57
B3,71,28.44,46.52,48.60,38.00,54.00
C2,910,25.01,46.12,47.86,43.00,50.62
C3,257,28.30,46.19,46.91,42.43,50.18
B2,306,263.23,38.91,40.98,38.37,44.11
B3,82,285.16,38.62,41.40,39.31,43.74
C2,1250,263.78,37.21,39.45,36.78,42.00
C3,452,294.95,37.40,39.64,37.14,42.00
Class,Units,Avg_mass,Avg_purch,Avg_Selling,Selling_Min,Selling_Max
A0,3,13.41,55.87,58.41,45.00,64.00
A1,177,14.67,66.94,67.50,64.07,69.54
A2,6393,21.36,69.65,71.46,68.96,76.49
A3,931,24.17,70.08,72.24,69.85,76.84
A4,221,25.44,65.86,68.64,61.70,74.91
A5,6,22.82,49.55,52.99,48.00,53.80
A6,26,20.75,50.82,53.81,48.00,62.00
AB2,212,23.00,59.52,63.50,59.51,69.73
AB3,51,26.17,59.05,61.44,56.00,61.83
B2,648,24.57,51.41,56.98,54.23,57.76
B3,55,30.40,49.21,54.83,54.49,55.18
C2,726,24.80,48.91,54.18,52.63,55.01
C3,110,28.18,48.77,54.31,52.05,55.09
A2,10754,262.49,47.10,46.83,44.68,47.95
A3,1303,277.67,47.20,46.59,44.44,48.39
AB2,698,270.07,46.06,46.64,43.77,48.71
AB3,137,283.45,46.30,46.09,43.42,48.92
B2,466,258.59,43.53,43.08,38.64,46.38
B3,132,279.00,43.60,43.97,42.83,46.07
C2,1660,261.29,41.27,40.74,36.51,42.75
C3,677,282.93,40.95,40.75,36.58,42.87
A0,49,13.42,60.61,62.30,52.00,69.00
A1,668,16.08,71.48,73.66,63.06,78.55
A2,7784,20.07,78.86,72.12,66.52,80.14
A3,1120,22.53,79.03,71.65,66.39,81.51
A4,202,23.30,68.22,62.83,58.11,73.40
A5,37,23.78,62.73,55.64,49.42,75.50
A6,37,20.12,65.84,55.23,49.98,70.43
AB2,182,21.04,67.83,66.56,56.77,72.75
AB3,16,26.25,68.71,66.26,54.08,71.67
B2,352,22.96,64.20,63.60,54.12,70.53
B3,64,26.72,62.39,63.16,54.64,68.00
C2,780,20.17,61.30,59.41,49.21,67.50
C3,184,26.45,61.29,57.79,48.06,64.86
PIGS,Units,Avg,Avg,Purch,Purch,Purch
Mass,Price,Min,Max,Hide,Feedlot,14.78
B2,488,270.57,42.65,42.88,40.97,43.64
B3,114,303.44,42.17,43.16,41.57,44.25
C3,685,324.78,40.60,41.79,39.99,43.20
Class,Units,Avg_mass,Avg_purch,Avg_Selling,Selling_Min,Selling_Max
A0,46,15.41,63.22,63.58,59.33,71.28
A1,370,15.49,81.82,73.03,67.60,82.12
A4,299,21.46,74.50,63.48,62.08,67.96
A5,48,22.19,67.19,55.53,53.31,61.59
A6,75,21.88,66.28,51.69,51.69,51.69
AB2,133,20.91,71.60,71.56,68.12,73.42
AB3,5,21.94,73.55,71.19,61.63,84.00
B2,439,23.92,69.66,71.10,66.54,72.22
B3,8,27.10,65.53,62.46,54.80,68.09
C2,522,25.35,62.90,63.22,54.04,67.27
C3,106,28.36,59.93,59.82,53.19,68.12
P,1,820,51.11,24.12,21.73,25.15
P,1,068,61.04,22.67,21.33,24.37
P,7,733,74.61,22.24,21.47,23.91
O,2,477,77.11,22.52,21.24,24.75
P,2,479,85.17,21.74,20.96,22.68
O,3,219,87.61,20.93,20.49,22.48
B2,358,258.33,38.86,41.68,39.44,44.87
B3,88,289.41,38.95,41.92,39.80,45.14
C2,1292,265.98,37.12,39.17,35.08,42.50
C3,410,288.92,37.30,39.59,37.25,42.50
Class,Units,Avg_mass,Avg_purch,Avg_Selling,Selling_Min,Selling_Max
A0,51,15.67,52.87,61.03,59.45,63.89
A1,225,16.63,65.56,68.34,67.76,69.32
A2,6301,21.93,69.23,70.90,69.39,73.61
A3,1335,22.75,70.65,70.85,68.69,74.40
A4,295,23.89,63.75,64.78,61.97,69.83
A5,26,26.08,61.07,60.94,53.80,68.00
A6,70,22.91,52.88,54.83,52.33,66.00
AB2,149,20.76,57.70,62.93,61.52,66.40
AB3,8,21.50,44.05,62.64,61.77,65.00
B2,520,23.41,52.58,57.98,56.29,58.57
B3,48,24.67,52.62,57.96,55.29,59.00
C2,982,23.36,48.96,53.26,48.42,55.00
C3,115,28.68,47.36,54.27,52.68,55.00
A2,9422,260.06,46.99,46.71,44.72,47.91
A3,1008,277.39,47.12,46.68,44.79,48.31
AB2,674,261.88,46.26,45.25,42.81,47.46
AB3,136,272.21,46.16,45.20,42.84,47.44
B2,468,249.14,43.13,42.71,40.10,45.01
B3,170,269.16,42.74,43.29,42.37,44.75
C2,1412,250.99,41.12,40.89,38.44,43.14
C3,601,276.09,42.24,41.75,39.88,42.94
A0,179,14.32,68.28,66.90,60.42,70.00
A1,914,16.47,78.32,75.07,62.75,79.05
A2,8742,20.12,79.07,73.64,66.69,79.73
A3,955,22.27,78.34,73.13,66.58,78.77
A4,106,23.68,71.13,71.09,65.28,73.79
A5,44,24.16,65.67,63.59,54.57,67.61
A6,44,23.54,67.73,64.48,54.77,66.84
AB2,295,22.75,70.21,71.96,61.53,78.21
AB3,37,24.52,71.14,70.06,60.05,77.57
B2,250,25.75,62.51,63.97,58.41,72.00
B3,64,27.51,63.66,64.25,57.51,69.29
C2,879,24.27,61.10,61.87,46.57,67.16
C3,212,27.01,60.59,58.05,45.20,64.31
PIGS,Units,Avg,Avg,Purch,Purch,Purch
Mass,Price,Min,Max,Hide,Feedlot,14.99
B2,369,268.10,41.75,42.80,41.09,44.62
B3,115,280.40,41.04,43.50,42.71,44.19
C3,572,287.81,40.24,42.27,40.50,43.13
Class,Units,Avg_mass,Avg_purch,Avg_Selling,Selling_Min,Selling_Max
A0,19,10.73,51.71,58.82,51.25,68.00
A1,126,14.52,72.52,70.35,66.37,77.33
A4,178,23.30,70.19,62.96,62.22,65.48
A5,29,24.19,63.42,55.97,53.36,64.66
A6,42,26.10,65.11,51.77,51.77,51.77
AB2,160,22.13,68.28,71.51,66.04,79.81
AB3,7,26.85,63.89,66.49,60.28,84.50
B2,258,24.60,66.34,69.25,66.86,69.98
B3,45,25.66,63.27,65.77,64.89,68.00
C2,484,25.29,62.02,62.54,54.16,66.19
C3,77,29.30,61.44,61.32,53.23,65.00
P,1,461,52.77,24.30,21.86,25.09
P,6,631,74.16,22.24,21.29,24.13
O,2,376,75.65,22.42,21.41,24.47
P,2,903,84.69,21.33,20.62,22.55
O,5,987,86.99,20.89,20.60,21.96
R,1,084,88.75,19.68,18.48,20.87
A2,10104,262.96,38.17,37.98,36.88,40.07
A3,1493,278.07,38.16,37.82,36.88,40.00
AB2,534,269.68,36.23,36.70,31.39,41.17
AB3,111,311.26,35.12,36.06,33.70,41.17
B2,519,261.61,32.77,33.40,29.24,36.10
B3,152,298.02,32.40,32.74,29.27,36.10
C2,2046,254.34,30.41,31.08,28.00,34.86
C3,646,291.60,30.39,31.51,28.00,34.86
A0,253,13.54,50.98,50.68,42.00,57.00
A1,891,16.88,61.25,61.25,52.50,64.00
A2,11587,20.78,62.52,60.19,55.00,69.41
A3,2274,22.87,62.20,60.19,54.00,68.37
A4,605,23.80,53.59,52.30,47.61,55.32
A5,176,22.69,48.42,46.30,41.06,55.31
A6,318,22.54,48.49,46.53,40.89,51.48
AB2,168,21.92,54.84,53.91,46.42,59.70
AB3,25,24.86,54.40,53.12,45.88,58.00
B2,203,26.86,48.20,50.78,43.41,56.00
B3,52,28.98,49.90,51.93,45.80,56.00
C2,931,25.41,49.36,51.21,43.79,54.03
C3,288,28.18,47.69,47.02,38.14,54.00
B2,312,265.74,39.37,40.69,38.51,43.67
B3,81,302.39,39.44,40.89,39.51,43.00
C2,1422,265.05,37.21,40.16,36.61,42.00
C3,469,297.20,37.43,40.41,36.80,42.00
Class,Units,Avg_mass,Avg_purch,Avg_Selling,Selling_Min,Selling_Max
A0,28,14.30,57.40,62.54,51.62,65.00
A1,170,15.31,65.69,67.23,63.42,69.65
A2,6936,22.52,69.43,70.78,69.39,72.97
A3,1122,24.88,70.23,70.57,70.03,72.14
A4,270,26.30,63.60,64.17,61.91,67.73
A5,36,31.60,67.69,65.61,55.57,67.70
A6,22,26.56,61.83,61.30,52.34,68.00
AB2,71,21.05,58.12,62.20,60.17,63.88
AB3,15,24.59,58.65,63.27,59.51,65.00
B2,357,24.28,51.48,56.25,55.00,59.05
B3,116,26.29,53.24,56.07,54.83,59.22
C2,1262,24.69,49.57,53.65,49.49,55.00
C3,226,28.52,50.21,54.54,53.58,55.00
A2,9000,263.28,46.95,46.47,44.02,47.92
A3,788,271.08,47.09,45.96,43.65,48.41
AB2,680,261.39,45.97,45.36,43.11,47.66
AB3,97,271.82,45.72,45.05,43.40,47.46
B2,634,254.23,43.23,43.11,41.38,44.11
B3,127,281.96,43.01,43.33,43.07,44.92
C2,1517,265.21,41.80,41.07,38.83,42.54
C3,595,292.90,41.99,41.36,38.26,43.01
A0,258,13.71,67.76,66.03,52.73,70.69
A1,908,16.34,77.83,75.98,72.61,79.01
A2,8342,19.93,78.62,74.76,67.08,79.53
A3,1000,21.95,78.40,72.90,66.73,81.17
A4,256,22.70,65.42,62.32,58.33,69.53
A5,73,20.72,59.15,57.14,50.21,64.99
A6,74,21.32,56.92,55.03,49.86,61.60
AB2,233,19.91,66.37,67.36,58.44,72.18
AB3,54,21.43,65.19,67.03,58.17,72.58
B2,353,23.12,64.27,65.73,56.89,71.54
B3,75,24.53,63.06,65.12,56.33,67.97
C2,852,23.22,62.77,65.54,59.74,69.00
C3,239,25.21,62.79,62.85,54.85,65.74
PIGS,Units,Avg,Avg,Purch,Purch,Purch
Mass,Price,Min,Max,Hide,Feedlot,14.91
A2,9646,263.90,38.16,37.63,35.50,39.97
A3,1280,278.03,38.00,37.81,35.00,39.17
AB2,501,269.48,36.52,37.07,31.00,39.21
AB3,120,294.76,35.32,35.54,32.23,39.80
B2,373,258.33,33.22,33.79,29.96,38.82
B3,76,286.08,32.67,33.41,29.96,39.80
C2,1389,248.77,30.81,31.42,29.00,34.50
C3,357,287.86,31.22,31.94,29.00,34.50
A0,376,15.30,52.83,54.13,50.00,55.00
A1,1069,17.64,62.63,63.45,55.00,64.00
A2,9965,20.89,61.94,60.48,55.32,69.55
A3,1427,23.03,60.55,59.27,55.40,65.84
A4,341,22.97,53.87,51.92,47.65,58.14
A5,86,22.91,49.56,50.68,39.75,58.50
A6,124,20.80,49.73,48.28,39.97,55.04
AB2,244,22.86,55.57,57.37,46.51,62.74
AB3,38,24.68,56.35,55.02,45.94,60.95
B2,217,23.74,52.06,54.78,43.44,56.00
B3,38,27.35,52.05,53.85,43.79,56.00
C2,460,24.38,50.56,51.57,45.55,54.00
C3,103,27.12,50.47,49.76,40.05,54.00
B2,480,269.29,42.02,42.65,40.88,44.07
B3,132,291.02,41.64,42.50,41.19,43.73
C3,597,285.85,39.97,41.35,39.71,42.27
Class,Units,Avg_mass,Avg_purch,Avg_Selling,Selling_Min,Selling_Max
A0,103,13.06,53.89,56.70,45.32,66.86
A1,525,14.21,76.48,74.39,60.55,78.18
A4,278,21.85,68.54,65.17,63.88,73.64
A5,61,22.11,63.55,60.68,53.40,72.75
A6,37,19.84,63.36,53.40,51.78,58.00
AB2,146,20.36,62.72,64.49,59.00,76.81
AB3,37,22.23,59.85,61.21,58.00,70.29
B2,364,24.62,68.29,67.80,61.90,69.34
B3,40,27.76,60.01,61.73,57.00,65.63
C2,574,24.19,63.42,63.55,55.75,66.98
C3,98,27.96,60.65,61.07,54.32,65.27
P,1,648,51.44,24.26,22.13,25.16
P,7,671,74.70,22.29,21.32,23.91
O,2,647,76.70,22.48,21.27,24.27
P,3,971,84.76,21.64,21.21,22.24
O,5,956,86.79,21.26,20.64,21.98
A2,14456,262.70,46.63,46.07,44.48,47.82
A3,1133,276.19,46.74,46.17,44.03,47.95
AB2,764,256.51,45.63,45.93,43.24,47.77
AB3,152,264.51,45.72,45.82,43.44,48.18
B2,588,254.88,42.48,43.43,38.34,47.53
B3,159,266.97,42.94,43.78,41.74,45.91
C2,1607,254.10,41.57,41.00,38.28,43.35
C3,741,277.05,41.35,41.59,39.03,43.41
A0,246,15.02,68.54,66.63,60.50,69.00
A1,827,16.13,78.37,77.00,73.60,78.54
A2,10590,20.68,79.18,72.75,67.21,79.97
A3,1368,23.06,79.08,71.61,66.80,80.72
A4,243,24.98,70.67,64.57,58.42,79.96
A5,36,24.31,63.89,59.74,50.45,71.28
A6,39,22.65,69.34,66.86,49.95,79.50
AB2,380,22.69,72.11,62.69,58.13,73.33
AB3,164,24.93,73.38,56.63,55.04,62.57
B2,287,24.19,63.70,66.76,59.51,71.90
B3,101,26.96,63.73,65.62,55.51,70.25
C2,1134,25.31,61.30,61.60,50.67,66.91
C3,302,29.20,62.16,58.60,49.17,65.40
PIGS,Units,Avg,Avg,Purch,Purch,Purch
Mass,Price,Min,Max,Hide,Feedlot,14.63
B2,560,273.20,41.79,43.14,41.99,43.99
B3,110,303.42,41.26,43.08,41.92,43.99
C3,722,294.81,40.18,42.07,40.25,43.24
Class,Units,Avg_mass,Avg_purch,Avg_Selling,Selling_Min,Selling_Max
A0,19,12.67,67.64,66.34,60.25,70.48
A1,189,14.48,78.69,70.93,68.13,78.28
A3,974,23.21,79.01,71.56,70.16,77.31
A4,295,23.26,68.21,64.70,62.31,71.52
A5,121,22.07,63.72,56.83,53.49,69.29
A6,150,22.47,64.25,52.92,50.89,59.71
AB2,192,21.89,66.70,65.34,62.88,74.78
AB3,3,29.73,66.19,67.88,61.86,72.00
B2,58,24.75,66.16,67.25,59.25,69.64
B3,5,30.88,59.52,59.92,50.28,70.00
C2,393,26.21,63.18,63.85,57.53,67.40
C3,86,31.73,60.53,61.96,55.05,67.00
P,1,557,52.36,24.31,22.88,25.00
P,1,097,61.48,22.87,21.90,23.28
P,7,619,74.62,22.35,21.39,23.98
O,2,680,77.20,22.65,21.22,24.68
P,3,836,85.02,21.77,21.31,22.08
O,5,616,87.42,21.37,20.97,21.87
A2,12647,258.87,38.31,37.82,36.00,41.11
A3,1684,275.04,37.79,37.85,36.50,40.00
AB2,565,266.96,36.68,36.24,31.00,40.35
AB3,117,290.63,36.24,36.28,32.00,39.80
B2,486,251.37,32.94,33.70,30.00,40.35
B3,102,291.39,33.31,34.27,30.25,40.35
C2,2050,252.28,31.38,31.62,28.00,34.50
C3,497,286.29,31.43,31.98,28.00,34.50
A0,261,14.33,51.99,52.93,38.00,55.21
A1,799,17.00,61.60,62.07,59.48,68.00
A2,10691,20.96,59.56,63.68,58.00,66.02
A3,1690,24.13,58.07,62.60,58.00,64.74
A4,325,25.55,51.77,55.49,53.41,59.91
A5,76,25.16,51.13,54.93,42.05,62.00
A6,96,27.32,50.40,55.64,48.39,59.74
AB2,114,24.47,53.41,56.63,49.36,67.19
AB3,31,27.17,55.83,57.62,44.08,69.00
B2,156,25.77,50.46,52.62,42.00,56.86
B3,25,29.26,49.98,52.18,47.00,57.56
C2,499,25.81,50.47,51.16,44.77,55.00
C3,101,28.63,48.96,48.84,40.00,55.00
B2,357,272.11,38.71,41.72,39.07,45.38
B3,85,292.68,39.19,41.22,37.93,46.10
C2,1714,266.74,37.10,40.09,37.02,42.50
C3,500,300.41,37.25,39.99,37.18,42.50
Class,Units,Avg_mass,Avg_purch,Avg_Selling,Selling_Min,Selling_Max
A0,20,14.37,51.51,61.76,53.68,66.00
A1,192,14.77,67.55,66.07,55.95,68.84
A2,6919,22.40,66.32,70.48,68.21,73.08
A3,848,24.92,67.71,70.02,69.33,70.61
A4,186,26.06,62.42,63.55,61.92,65.56
A5,29,28.37,64.68,61.98,57.20,62.98
A6,40,27.42,61.74,59.96,55.20,62.00
AB2,238,21.85,55.74,62.25,60.52,63.02
AB3,5,22.56,55.90,61.07,52.00,65.00
B2,475,23.52,53.61,57.20,54.71,58.10
B3,19,24.67,52.94,52.27,48.00,55.60
C2,1238,24.07,49.64,53.88,51.89,55.00
C3,151,26.85,50.03,52.95,49.12,55.00
A2,11603,260.52,46.95,45.20,38.19,48.21
A3,1201,273.67,47.01,46.22,44.44,48.34
AB2,768,264.47,45.81,45.82,42.76,47.98
AB3,115,281.56,45.73,45.07,42.91,47.62
B2,604,252.78,42.76,42.85,40.31,44.51
B3,193,267.67,42.76,38.89,41.93,44.30
C2,1610,261.31,41.32,40.91,37.71,42.48
C3,707,281.38,41.40,41.31,38.45,42.51
A0,278,13.75,67.89,64.51,56.62,67.14
A1,1487,15.80,77.97,76.05,69.20,78.68
A2,11067,19.53,79.33,74.52,67.20,81.29
A3,1544,22.11,79.72,73.45,66.99,83.71
A4,310,23.98,72.19,64.92,58.55,78.57
A5,53,23.86,67.75,67.32,50.58,85.36
A6,51,24.07,66.42,62.16,49.99,69.94
AB2,305,23.40,69.71,69.35,61.07,73.48
AB3,36,27.09,68.12,63.61,56.61,72.02
B2,477,24.63,64.06,66.00,61.63,71.47
B3,84,28.59,64.02,64.60,60.12,68.81
C2,1951,24.69,60.52,62.08,57.67,66.25
C3,319,27.44,62.41,60.77,52.67,65.37
PIGS,Units,Avg,Avg,Purch,Purch,Purch
Mass,Price,Min,Max,Hide,Feedlot,14.30
B2,413,262.55,42.09,43.29,42.20,44.45
B3,137,301.66,40.93,43.27,42.60,44.49
C3,693,292.82,39.84,41.65,40.35,42.50
Class,Units,Avg_mass,Avg_purch,Avg_Selling,Selling_Min,Selling_Max
A0,75,11.75,55.51,59.28,50.00,72.47
A1,606,14.09,79.46,75.58,66.91,81.07
A4,503,21.66,69.25,66.57,62.39,74.33
A5,169,20.93,62.22,58.40,53.53,68.75
A6,166,20.30,63.41,56.53,51.94,63.88
AB2,323,18.19,62.68,65.39,59.00,75.77
AB3,73,19.77,63.94,66.24,60.00,80.00
B2,442,22.11,62.59,65.78,56.93,71.03
B3,47,20.29,56.59,57.26,55.46,59.33
C3,194,27.29,58.75,57.53,53.21,66.64
P,1,805,51.42,24.56,22.76,25.14
P,1,388,60.98,23.36,22.26,24.00
P,8,448,74.67,22.73,22.01,25.03
O,2,750,77.15,23.15,21.77,26.09
P,3,535,84.87,21.98,21.58,22.70
O,5,682,87.15,21.54,21.14,22.27
R,1,056,88.96,20.12,19.10,21.90
A2,14134,261.56,38.45,38.58,35.73,41.94
A3,4796,269.88,38.46,38.99,36.00,40.00
AB2,518,274.49,36.80,36.74,29.50,41.51
AB3,104,289.54,36.23,36.86,34.50,39.90
B2,451,255.50,33.62,33.99,30.00,37.00
B3,88,293.01,33.63,34.04,31.00,36.10
C2,2036,249.57,31.49,31.72,29.00,34.50
C3,668,283.91,31.61,32.08,29.00,34.50
A0,227,13.95,51.63,51.46,42.49,57.00
A1,1115,16.44,61.90,61.11,60.07,68.00
A2,14887,20.05,63.83,61.07,55.46,64.45
A3,3187,22.50,63.49,60.73,55.56,64.24
A4,699,23.09,54.83,53.30,47.73,58.90
A5,165,23.54,49.58,49.90,41.55,62.00
A6,190,23.65,48.16,48.97,40.05,58.00
AB2,218,22.56,56.29,56.22,46.59,67.92
AB3,58,26.02,55.32,56.40,46.07,69.00
B2,398,25.04,50.02,52.41,43.45,57.60
B3,183,26.07,50.67,51.24,43.82,56.00
C2,795,24.55,50.05,50.10,44.23,54.00
C3,399,26.81,50.08,48.69,40.18,53.00
B2,420,267.60,39.06,40.98,37.41,45.36
B3,73,293.78,39.83,41.08,38.24,46.01
C2,1580,265.37,37.07,40.02,36.86,42.50
C3,474,296.66,37.65,40.22,37.37,42.59
Class,Units,Avg_mass,Avg_purch,Avg_Selling,Selling_Min,Selling_Max
A0,34,13.12,54.76,62.74,59.69,63.87
A1,207,14.14,64.62,67.26,61.45,70.29
A2,8413,21.72,69.44,70.32,68.72,71.73
A3,1664,24.19,69.20,69.74,68.71,70.27
A4,367,24.85,61.42,60.72,57.39,63.66
A5,66,27.37,60.76,58.11,53.57,63.37
A6,65,22.66,61.06,60.36,53.77,65.76
AB2,140,19.49,57.32,60.77,55.25,62.69
AB3,14,22.83,55.75,60.71,60.00,62.49
B2,344,21.01,54.77,57.42,51.07,60.00
B3,37,23.47,48.45,56.19,55.39,58.00
C2,1277,24.53,49.86,52.75,49.55,55.00
C3,182,29.47,49.80,52.55,47.00,55.00
B2,342,261.50,38.81,40.87,37.51,44.52
B3,53,311.40,40.18,40.52,38.84,44.01
