0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
47,48,49,50,51,52,1Beef,A2,‐Sales,Price,2017‐2018,2016‐2017,,,,,,,,,,,,,
61667176,,,,,,,,,,,,,,,,,,,,,,,,
47,48,49,50,51,52,1Lamb,A2,‐Sales,Price,2017‐2018,2016‐2017,,,,,,,,,,,,,
262728293031,,,,,,,,,,,,,,,,,,,,,,,,
Class,Units,Avg_mass,Avg_purch,Avg_selling,Selling_min,Selling_max,From,2016/01/04,To,2016/01/10,,,,,,,,,,,,,,
CATTLE,,,,,,,,,,,,,,,,,,,,,,,,
A2,8756,259.87,36.07,36.06,29.50,39.19,,,,,,,,,,,,,,,,,,
A3,933,269.86,35.91,36.36,33.52,39.38,,,,,,,,,,,,,,,,,,
AB2,387,247.77,33.65,32.54,29.50,38.27,,,,,,,,,,,,,,,,,,
AB3,46,281.55,35.04,34.10,28.00,35.81,,,,,,,,,,,,,,,,,,
B2,213,237.07,30.67,29.42,26.45,33.17,,,,,,,,,,,,,,,,,,
B3,23,289.72,30.44,29.34,28.00,31.55,,,,,,,,,,,,,,,,,,
C2,1086,250.05,28.87,28.29,25.27,31.50,,,,,,,,,,,,,,,,,,
C3,161,289.98,29.37,28.71,25.21,31.50,,,,,,,,,,,,,,,,,,
11,605,,,,,,,,,,,,,,,,,,,,,,,
LAMB/SHEEP,Lamb,A2,-,Sales,Price,,,,,,,,,,,,,,,,,,,
A0,120,13.19,46.75,45.86,34.00,48.95,,,,,,,,,,,,,,,,,,
A1,683,14.88,56.73,55.02,44.00,57.12,,,,,,,,,,,,,,,,,,
A2,9450,19.64,57.47,56.63,52.00,65.20,,,,,,,,,,,,,,,,,,
A3,1696,22.73,57.36,56.89,51.52,65.41,,,,,,,,,,,,,,,,,,
A4,316,23.67,50.43,51.40,45.00,58.39,,,,,,,,,,,,,,,,,,
A5,68,25.61,50.65,42.72,39.20,50.00,,,,,,,,,,,,,,,,,,
A6,70,22.55,49.01,42.69,39.35,50.00,,,,,,,,,,,,,,,,,,
AB2,365,19.91,50.25,50.75,36.94,62.10,,,,,,,,,,,,,,,,,,
AB3,52,23.41,50.55,49.89,34.71,62.70,,,,,,,,,,,,,,,,,,
B2,75,23.77,43.49,43.52,40.00,47.00,,,,,,,,,,,,,,,,,,
B3,10,26.31,43.97,44.27,40.00,46.38,,,,,,,,,,,,,,,,,,
C2,681,22.47,40.67,41.14,36.94,47.26,,,,,,,,,,,,,,,,,,
C3,152,25.60,40.87,41.28,36.94,47.27,,,,,,,,,,,,,,,,,,
13,738,,,,,,,,,,,,,,,,,,,,,,,
Units,Avg_mass,Avg_purch,Purch_min,Purch_maxAvg,,,,,,,,,,,,,,,,,,,,
PIGS,,,,,,,,,,,,,,,,,,,,,,,,
BC,20,75.572,21.33,20.08,24.00,,,,,,,,,,,,,,,,,,,
BO,924,74.987,23.57,21.50,26.00,,,,,,,,,,,,,,,,,,,
BP,2514,72.063,22.08,22.00,26.00,,,,,,,,,,,,,,,,,,,
BR,93,76.421,21.02,14.60,25.00,,,,,,,,,,,,,,,,,,,
BS,5,70.92,16.00,16.00,16.00,,,,,,,,,,,,,,,,,,,
BU,8,73.613,19.32,16.00,23.00,,,,,,,,,,,,,,,,,,,
PC,3,46.667,21.67,20.20,22.50,,,,,,,,,,,,,,,,,,,
PO,78,52.81,24.29,21.50,26.00,,,,,,,,,,,,,,,,,,,
PP,657,51.86,23.60,21.50,26.00,,,,,,,,,,,,,,,,,,,
PR,7,51.12,21.57,21.00,25.00,,,,,,,,,,,,,,,,,,,
SAS,295,154.03,15.90,14.00,18.00,,,,,,,,,,,,,,,,,,,
HP,2,94.70,16.00,16.00,16.00,Hide,Feedlot,12.76,,,,,,,,,,,,,,,,
HO,296,88.26,22.27,21.50,24.00,Veldt,12.76,,,,,,,,,,,,,,,,,
HR,633,86.85,22.41,21.50,21.50,Dorper,ea,83.13,,,,,,,,,,,,,,,,
HC,15,92.7,19.55,14.60,23.50,Merino,ea,86.07,,,,,,,,,,,,,,,,
HU,14,137.74,11.25,9.40,22.50,,,,,,,,,,,,,,,,,,,
HS,1,85,22.50,22.5,22.5,,,,,,,,,,,,,,,,,,,
CO,5,60.74,23.05,23,23.25,,,,,,,,,,,,,,,,,,,
CR,227,58.67,22.80,10,23.5,,,,,,,,,,,,,,,,,,,
4344454647485051,12016,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,
40,42,44,46,48,50,52,54,56,58,60,,,,,,,,,,,,,,
4344454647485051,12016,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,
15,17,19,21,23,25,27,,,,,,,,,,,,,,,,,,
4344454647485051,12016,,,,,,,,,,,,,,,,,,,,,,,
Class,Units,Avg_mass,Avg_purch,Avg_selling,Selling_min,Selling_max,From,2017/01/02,To,2017/01/08,,,,,,,,,,,,,,
Mass,Price,Price,min,max,Beef,A2,-,Sales,Price,,,,,,,,,,,,,,,
CATTLE,,,,,,,,,,,,,,,,,,,,,,,,
A2,12001,258.96,39.18,39.31,37.12,42.51,,,,,,,,,,,,,,,,,,
A3,1308,277.74,39.13,39.07,37.00,42.53,,,,,,,,,,,,,,,,,,
AB2,378,263.26,36.98,37.56,30.50,41.74,,,,,,,,,,,,,,,,,,
AB3,98,279.98,37.08,38.36,36.00,41.74,,,,,,,,,,,,,,,,,,
B2,183,274.37,35.15,35.78,32.33,39.42,,,,,,,,,,,,,,,,,,
B3,65,257.49,34.35,35.56,32.50,36.35,,,,,,,,,,,,,,,,,,
C2,697,262.40,33.76,32.61,30.00,39.28,,,,,,,,,,,,,,,,,,
C3,129,295.65,32.37,34.18,30.00,38.50,,,,,,,,,,,,,,,,,,
14,859,,,,,,,,,,,,,,,,,,,,,,,
LAMB/SHEEP,Lamb,A2,-,Sales,Price,,,,,,,,,,,,,,,,,,,
A0,112,12.57,54.97,57.01,45.91,69.13,,,,,,,,,,,,,,,,,,
A1,693,15.96,68.72,66.30,54.89,72.00,,,,,,,,,,,,,,,,,,
A2,6074,20.57,69.33,70.26,66.60,76.11,,,,,,,,,,,,,,,,,,
A3,1049,22.53,69.05,69.76,64.00,75.89,,,,,,,,,,,,,,,,,,
A4,200,23.56,58.17,58.93,57.57,63.77,,,,,,,,,,,,,,,,,,
A5,25,22.94,53.17,53.50,45.08,62.62,,,,,,,,,,,,,,,,,,
A6,24,23.87,52.79,54.77,46.48,62.39,,,,,,,,,,,,,,,,,,
AB2,62,22.12,57.86,61.14,50.75,66.57,,,,,,,,,,,,,,,,,,
AB3,34,27.69,54.31,56.82,49.26,67.70,,,,,,,,,,,,,,,,,,
B2,12,26.51,51.41,55.19,50.00,60.47,,,,,,,,,,,,,,,,,,
B3,6,28.97,48.74,52.21,51.21,52.40,,,,,,,,,,,,,,,,,,
C2,296,24.76,50.47,49.95,46.83,58.32,,,,,,,,,,,,,,,,,,
C3,78,27.85,49.75,48.72,47.95,54.00,Hide,Feedlot,16.18,,,,,,,,,,,,,,,
8,665,Veldt,16.06,,,,,,,,,,,,,,,,,,,,,
Units,Avg_mass,Avg_purch,Purch_min,Purch_max,45.56,,,,,,,,,,,,,,,,,,,
Price,Min,Max,Merino,ea,81.38,,,,,,,,,,,,,,,,,,,
Baconer,BO,-,Purchase,Price,,,,,,,,,,,,,,,,,,,,
BP,7771,70.45,26.90,22.30,31.38,,,,,,,,,,,,,,,,,,,
BO,2186,74.09,27.14,22.30,31.84,,,,,,,,,,,,,,,,,,,
BR,200,76.48,25.79,23.00,28.50,,,,,,,,,,,,,,,,,,,
BC,19,76.13,23.08,19.70,26.50,,,,,,,,,,,,,,,,,,,
BU,4,71.07,20.26,17.72,25.50,,,,,,,,,,,,,,,,,,,
